# epoch;step;loss
5.000;99.000;0.049
5.000;100.000;0.078
5.000;101.000;0.150
5.000;102.000;0.164
5.000;103.000;0.038
5.000;104.000;0.081
5.000;105.000;0.082
5.000;106.000;0.088
5.000;107.000;0.114
5.000;108.000;0.045
5.000;109.000;0.070
5.000;110.000;0.147
5.000;111.000;0.087
5.000;112.000;0.096
5.000;113.000;0.072
5.000;114.000;0.054
5.000;115.000;0.151
5.000;116.000;0.090
5.000;117.000;0.113
5.000;118.000;0.105
5.000;119.000;0.104
5.000;120.000;0.146
5.000;121.000;0.116
5.000;122.000;0.136
5.000;123.000;0.084
5.000;124.000;0.085
5.000;125.000;0.103
5.000;126.000;0.100
5.000;127.000;0.156
5.000;128.000;0.039
5.000;129.000;0.115
5.000;130.000;0.117
5.000;131.000;0.071
5.000;132.000;0.139
5.000;133.000;0.098
5.000;134.000;0.064
5.000;135.000;0.121
5.000;136.000;0.108
5.000;137.000;0.072
5.000;138.000;0.054
5.000;139.000;0.047
5.000;140.000;0.113
5.000;141.000;0.167
5.000;142.000;0.132
5.000;143.000;0.125
5.000;144.000;0.067
5.000;145.000;0.099
5.000;146.000;0.131
